nohup: ignoring input
/mnt/disk1/erdemy/app2scale/hdmr-opt/hdmr-env/lib/python3.10/site-packages/xgboost/core.py:377: FutureWarning: Your system has an old version of glibc (< 2.28). We will stop supporting Linux distros with glibc older than 2.28 after **May 31, 2025**. Please upgrade to a recent Linux distro (with glibc >= 2.28) to use future versions of XGBoost.
Note: You have installed the 'manylinux2014' variant of XGBoost. Certain features such as GPU algorithms or federated learning are not available. To use these features, please upgrade to a recent Linux distro with glibc 2.28+, and install the 'manylinux_2_28' variant.
  warnings.warn(
2026-04-17 10:08:20,044 | INFO     | hdmr.forecast |   └─ MAPE=37.20%  RMSE=1.5027  MAE=1.4453  best_val=1.2855  evals=200  556.1s  ETA: 7:04:07
2026-04-17 10:08:20,048 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][RS-200] fold 2/3  (train=1846  test=30)
2026-04-17 10:17:50,278 | INFO     | hdmr.forecast |   └─ MAPE=28.78%  RMSE=1.6796  MAE=1.6144  best_val=1.1637  evals=200  570.2s  ETA: 5:24:19
2026-04-17 10:17:50,283 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][RS-200] fold 3/3  (train=2210  test=30)
2026-04-17 10:29:28,532 | INFO     | hdmr.forecast |   └─ MAPE=6.41%  RMSE=0.4586  MAE=0.3510  best_val=0.4785  evals=200  698.2s  ETA: 3:02:27
2026-04-17 10:29:28,535 | INFO     | hdmr.forecast |   [medianova][GRU][RS-200]  MAPE=24.13±12.99  RMSE=1.2136  MAE=1.1369
2026-04-17 10:29:28,536 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][Optuna-200] fold 1/3  (train=1483  test=30)
2026-04-17 10:33:55,009 | INFO     | hdmr.forecast |   └─ MAPE=38.48%  RMSE=1.5674  MAE=1.5035  best_val=1.2497  evals=200  266.5s  ETA: 2:24:58
2026-04-17 10:33:55,013 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][Optuna-200] fold 2/3  (train=1846  test=30)
2026-04-17 10:39:46,096 | INFO     | hdmr.forecast |   └─ MAPE=21.62%  RMSE=1.3158  MAE=1.2161  best_val=0.8981  evals=200  351.1s  ETA: 1:56:57
2026-04-17 10:39:46,101 | INFO     | hdmr.forecast |   ┌─ [medianova][GRU][Optuna-200] fold 3/3  (train=2210  test=30)
2026-04-17 10:49:04,014 | INFO     | hdmr.forecast |   └─ MAPE=6.46%  RMSE=0.4752  MAE=0.3591  best_val=0.4723  evals=200  557.9s  ETA: 1:37:57
2026-04-17 10:49:04,018 | INFO     | hdmr.forecast |   [medianova][GRU][Optuna-200]  MAPE=22.19±13.08  RMSE=1.1195  MAE=1.0262
2026-04-17 10:49:04,019 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-17 10:58:12,698 | INFO     | hdmr.forecast |   └─ MAPE=16.76%  RMSE=0.8380  MAE=0.6844  best_val=1.0452  evals=201  548.7s  ETA: 1:53:22
2026-04-17 10:58:12,702 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-17 11:14:09,902 | INFO     | hdmr.forecast |   └─ MAPE=12.33%  RMSE=0.8006  MAE=0.7022  best_val=0.3939  evals=201  957.2s  ETA: 2:29:03
2026-04-17 11:14:09,907 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][HDMR-200] fold 3/3  (train=2210  test=30)
2026-04-17 11:39:39,731 | INFO     | hdmr.forecast |   └─ MAPE=6.85%  RMSE=0.4700  MAE=0.3709  best_val=0.3954  evals=201  1529.8s  ETA: 3:22:22
2026-04-17 11:39:39,734 | INFO     | hdmr.forecast |   [medianova][N-BEATS][HDMR-200]  MAPE=11.98±4.05  RMSE=0.7029  MAE=0.5858
2026-04-17 11:39:39,736 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-200] fold 1/3  (train=1483  test=30)
2026-04-17 11:50:10,672 | INFO     | hdmr.forecast |   └─ MAPE=20.50%  RMSE=1.0106  MAE=0.8361  best_val=1.0478  evals=302  630.9s  ETA: 3:10:32
2026-04-17 11:50:10,677 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-200] fold 2/3  (train=1846  test=30)
2026-04-17 12:20:19,841 | INFO     | hdmr.forecast |   └─ MAPE=5.63%  RMSE=0.3994  MAE=0.3098  best_val=0.3609  evals=302  1809.2s  ETA: 3:40:33
2026-04-17 12:20:19,845 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-200] fold 3/3  (train=2210  test=30)
2026-04-17 12:55:43,308 | INFO     | hdmr.forecast |   └─ MAPE=6.05%  RMSE=0.4535  MAE=0.3458  best_val=0.3796  evals=302  2123.5s  ETA: 3:48:10
2026-04-17 12:55:43,312 | INFO     | hdmr.forecast |   [medianova][N-BEATS][A-HDMR-200]  MAPE=10.72±6.91  RMSE=0.6212  MAE=0.4972
2026-04-17 12:55:43,313 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-600] fold 1/3  (train=1483  test=30)
2026-04-17 13:17:23,065 | INFO     | hdmr.forecast |   └─ MAPE=16.42%  RMSE=0.8345  MAE=0.6711  best_val=1.0040  evals=602  1299.7s  ETA: 3:52:33
2026-04-17 13:17:23,070 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-600] fold 2/3  (train=1846  test=30)
2026-04-17 14:02:12,266 | INFO     | hdmr.forecast |   └─ MAPE=4.80%  RMSE=0.3507  MAE=0.2659  best_val=0.3651  evals=602  2689.2s  ETA: 3:57:42
2026-04-17 14:02:12,271 | INFO     | hdmr.forecast |   ┌─ [medianova][N-BEATS][A-HDMR-600] fold 3/3  (train=2210  test=30)
2026-04-17 16:16:59,784 | INFO     | hdmr.forecast |   └─ MAPE=6.55%  RMSE=0.4622  MAE=0.3583  best_val=0.3786  evals=602  8087.5s  ETA: 6:42:32
2026-04-17 16:16:59,788 | INFO     | hdmr.forecast |   [medianova][N-BEATS][A-HDMR-600]  MAPE=9.26±5.11  RMSE=0.5491  MAE=0.4318
