2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | Best MAPE: A-HDMR-600 with ARIMA = 4.29%
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | ==========================================================================
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | 
==========================================================================
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | FORECASTING HPO RESULTS SUMMARY — Payten (Transactions)
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | ==========================================================================
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | Model        Metric        HDMR-200    A-HDMR-200    A-HDMR-600        RS-200    Optuna-200
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | -------------------------------------------------------------------------------------------
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | XGBoost      mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | XGBoost      rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,496 | INFO     | hdmr.forecast | LightGBM     mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | LightGBM     rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | N-BEATS      mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | N-BEATS      rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | LSTM         mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | LSTM         rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,497 | INFO     | hdmr.forecast | ARIMA        mape         7.29±3.49     6.99±3.84     8.13±2.77     7.37±3.65     6.76±3.75
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | ARIMA        rmse         1.10±0.35     1.02±0.29     1.23±0.07     1.07±0.32     0.98±0.28
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | GRU          mape               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | GRU          rmse               N/A           N/A           N/A           N/A           N/A
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | Best MAPE: HDMR-200 with ARIMA = 3.01%
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | ==========================================================================
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | 
============================================================
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | SENSITIVITY SUMMARY  (first-order Sobol indices, HDMR)
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | ============================================================
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | [ARIMA] Top sensitivity: q(0.34) > d(0.34) > Q(0.15)
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | 
All experiments complete.
2026-04-17 08:56:14,498 | INFO     | hdmr.forecast | Results  : /mnt/disk1/erdemy/app2scale/hdmr-opt/results/forecasting/forecast_results_20260416_145246.csv
2026-04-17 08:56:14,499 | INFO     | hdmr.forecast | Log      : /mnt/disk1/erdemy/app2scale/hdmr-opt/logs/forecast_hpo_20260416_145246.log
