date,transactions
2017-01-24,4.857331043
2017-01-25,5.123440139
2017-01-26,5.209547829
2017-01-27,5.054409681999999
2017-01-28,3.977832023
2017-01-29,3.4938732970000004
2017-01-30,6.317373409
2017-01-31,6.634948349
2017-02-01,5.164527563999999
2017-02-02,4.722199821999999
2017-02-03,4.724726475
2017-02-04,3.676490441
2017-02-05,3.415331462
2017-02-06,5.4073155470000005
2017-02-07,4.852048062
2017-02-08,4.919728524
2017-02-09,4.841571116
2017-02-10,5.130588865
2017-02-11,3.982932225
2017-02-12,3.679626447
2017-02-13,5.832547415999999
2017-02-14,5.725176525
2017-02-15,5.881538085999999
2017-02-16,5.548700147
2017-02-17,4.911281325
2017-02-18,3.114191471
2017-02-19,2.663041563
2017-02-20,4.995204578
2017-02-21,4.51326139
2017-02-22,4.458368877
2017-02-23,4.678206148
2017-02-24,4.114280502000001
2017-02-25,4.272685959
2017-02-26,3.654402229
2017-02-27,4.34637597
2017-02-28,5.010519108
2017-03-01,5.60934907
2017-03-02,4.926619353
2017-03-03,4.685842326
2017-03-04,2.9572297790000004
2017-03-05,2.645978501
2017-03-06,4.815399904
2017-03-07,4.413292329000001
2017-03-08,5.319075077000001
2017-03-09,4.898530888
2017-03-10,5.001481301
2017-03-11,3.837380347
2017-03-12,4.467561385000001
2017-03-13,5.002896977999999
2017-03-14,5.3879883710000005
2017-03-15,5.333620893999999
2017-03-16,5.310707541999999
2017-03-17,4.817392195
2017-03-18,3.707396239
2017-03-19,3.278601763
2017-03-20,5.999639006
2017-03-21,4.461894000999999
2017-03-22,5.450385791
2017-03-23,4.609663146
2017-03-24,4.910690666
2017-03-25,2.893388546
2017-03-26,3.602022266
2017-03-27,5.343835255
2017-03-28,5.041302991999999
2017-03-29,5.038565386
2017-03-30,5.240186378
2017-03-31,5.438286974
2017-04-01,4.441202624
2017-04-02,3.175374777
2017-04-03,4.857443569999999
2017-04-04,5.220985722
2017-04-05,5.420651960000001
2017-04-06,4.370756543
2017-04-07,5.34168362
2017-04-08,3.620280694
2017-04-09,3.199352164
2017-04-10,5.045085925
2017-04-11,5.7091587530000005
2017-04-12,6.096022050999999
2017-04-13,5.491655965
2017-04-14,5.379569259
2017-04-15,4.945548111
2017-04-16,3.4025623310000004
2017-04-17,5.9330461350000006
2017-04-18,5.657510103000001
2017-04-19,5.399834057
2017-04-20,5.714212009000001
2017-04-21,5.085873264
2017-04-22,4.084162277000001
2017-04-23,3.956479822
2017-04-24,5.486551121
2017-04-25,5.33962105
2017-04-26,4.258079184
2017-04-27,5.211877597000001
2017-04-28,5.246120959
2017-04-29,3.280767462
2017-04-30,3.437415034
2017-05-01,3.97421316
2017-05-02,5.294816383000001
2017-05-03,4.467073866
2017-05-04,4.858812332000001
2017-05-05,5.639143845
2017-05-06,4.184965782
2017-05-07,3.799518129
2017-05-08,5.711047915
2017-05-09,5.555253464000001
2017-05-10,5.547429755
2017-05-11,5.879550545
2017-05-12,5.135862481
2017-05-13,3.98528543
2017-05-14,4.090771843
2017-05-15,6.000051562
2017-05-16,5.5031829420000005
2017-05-17,5.388513358
2017-05-18,5.344004011
2017-05-19,4.100775338
2017-05-20,3.932605481
2017-05-21,3.541209211
2017-05-22,4.908426585999999
2017-05-23,5.82038291
2017-05-24,5.415256447999999
2017-05-25,5.328525356
2017-05-26,5.513003569
2017-05-27,4.149250443
2017-05-28,3.803483867
2017-05-29,5.886239835
2017-05-30,6.237317532
2017-05-31,6.650187975
2017-06-01,5.760423015000001
2017-06-02,5.484001013
2017-06-03,4.232086103
2017-06-04,3.780875278
2017-06-05,5.793536654
2017-06-06,5.445271555
2017-06-07,5.598117436
2017-06-08,5.499709364999999
2017-06-09,5.403354489
2017-06-10,4.478441446
2017-06-11,4.169308945999999
2017-06-12,5.9160861780000005
2017-06-13,6.228537543
2017-06-14,8.435929033
2017-06-15,6.052708109
2017-06-16,4.7876677
2017-06-17,4.265026296
2017-06-18,5.412054787999999
2017-06-19,5.813065449
2017-06-20,5.7201747560000005
2017-06-21,4.923675502
2017-06-22,5.982711954999999
2017-06-23,4.679185848
2017-06-24,3.173377831
2017-06-25,2.825703381
2017-06-26,3.996479566000001
2017-06-27,3.33222392
2017-06-28,5.190290917
2017-06-29,5.282914412999999
2017-06-30,7.698775582000001
2017-07-01,4.55483626
2017-07-02,4.001092223000001
2017-07-03,6.110652239999999
2017-07-04,5.891279075
2017-07-05,5.750780518
2017-07-06,5.503717273
2017-07-07,5.432610184
2017-07-08,3.749941404
2017-07-09,3.360907715
2017-07-10,4.913995479
2017-07-11,5.443588687
2017-07-12,5.493526339999999
2017-07-13,5.494698254999999
2017-07-14,5.409059373
2017-07-15,8.295960157999998
2017-07-16,3.950760807
2017-07-17,6.238953528
2017-07-18,5.90195288
2017-07-19,8.091479708
2017-07-20,6.133837411
2017-07-21,5.932394552
2017-07-22,4.588831174
2017-07-23,6.373086262
2017-07-24,6.451215535
2017-07-25,6.510753491999999
2017-07-26,6.269723335
2017-07-27,7.291150633000001
2017-07-28,6.341407048000001
2017-07-29,5.103287925
2017-07-30,3.442838662
2017-07-31,8.102791033
2017-08-01,6.671896535
2017-08-02,6.298458697000001
2017-08-03,5.902941975
2017-08-04,5.831942658
2017-08-05,4.747405379
