run_id,dataset,task,method,total_evals,fold,seed,best_val,n_trials,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260309_002910,Fitness_Club,classification,Optuna-200,200,6,42,0.5001555224977141,200,89.3,,,,0.01310592680987741,6,2.932911012308432,0.9919043430955172,0.6265168349043133,0.630130651818122,4.743790608319108,4.660163302855205,lossguide,75,0.5070967319126995,0.5021599199863017,0.5021599199863017,0.5021599199863017,0.5008934955380846,0.5001555224977141,0.8304993252361672,0.7700534759358288,0.45908144291459635
20260309_002910,Fitness_Club,classification,Optuna-200,200,7,42,0.46629997077743873,200,37.45,,,,0.013403343572702241,10,0.7846188742665263,0.644548409063558,0.734716544569396,0.8979628492900157,0.104871556278258,0.6585906202083096,lossguide,8,0.4710637340299514,0.4710637340299514,0.46890149816507903,0.46673369803549997,0.46673369803549997,0.46629997077743873,0.8012540894220285,0.786096256684492,0.4751585811897152
20260309_002910,Fitness_Club,classification,Optuna-200,200,8,42,0.43121896363578194,200,32.53,,,,0.022738129727350873,6,0.0081427280511007,0.7641772136613734,0.9398898926534367,0.8767505757100967,0.7910291433301425,1.3098365778704084,depthwise,8,0.43652070061044573,0.43368806374199026,0.43318743841848006,0.43235102792717084,0.43121896363578194,0.43121896363578194,0.7914394765539804,0.7647058823529411,0.4963477434479553
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,1,42,0.31311470172256195,200,35.83,,,,0.07932053785688137,10,0.04219714631120513,0.7122837308245056,0.6376293686477015,0.7361363346396904,4.473227767001808,0.8317538003616046,depthwise,45,0.3207323427812003,0.3200829641910991,0.3181644992120962,0.31311470172256195,0.31311470172256195,0.31311470172256195,0.7151832460732984,0.875,0.3327897142832526
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,2,42,0.3142759159634733,200,59.2,,,,0.0749451668710345,8,0.004312096266798689,0.7665263834477039,0.8621444148817232,0.668454836543369,3.7012749142389127,1.8493831974124502,depthwise,31,0.32173974492712526,0.3164942779199568,0.3164942779199568,0.3164942779199568,0.3142759159634733,0.3142759159634733,0.7945549738219895,0.8935185185185185,0.29994268132466567
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,3,42,0.2968395404403151,200,25.25,,,,0.09042390732255055,6,0.01482656047095757,0.7871135289279743,0.7955692824218998,0.8760026196580711,3.3113837951687866,3.9819317489984893,lossguide,8,0.300934325220865,0.300934325220865,0.2968395404403151,0.2968395404403151,0.2968395404403151,0.2968395404403151,0.7302617801047121,0.8842592592592593,0.3269516272774124
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,4,42,0.3508270471205148,200,31.02,,,,0.046804024577716104,5,0.04919827637157827,0.9972498268601202,0.6438847789787241,0.7702355425117022,4.625541668896564,2.2442210607180253,lossguide,129,0.35419397185617246,0.3530020200496303,0.3508270471205148,0.3508270471205148,0.3508270471205148,0.3508270471205148,0.8741273996509599,0.8883720930232558,0.27838588148127713
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,5,42,0.31234491288692867,200,28.41,,,,0.03645814624797707,6,0.6751363739483667,0.975933329027824,0.8397620882605585,0.8958484932975972,0.593054270374471,3.190915116072863,depthwise,94,0.3165502005447295,0.31336677969820737,0.31336677969820737,0.31336677969820737,0.31321187759250424,0.31234491288692867,0.6978621291448517,0.8651162790697674,0.3399801435913889
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,6,42,0.3057208524110883,200,80.06,,,,0.010697773434079513,10,0.002070467997271872,0.8919153934452221,0.6767204761925608,0.6214406657990358,4.106841153672887,3.373461801527252,depthwise,9,0.30893663111964176,0.3069430661480033,0.3069430661480033,0.3069430661480033,0.30620132098197145,0.3057208524110883,0.7955933682373473,0.8883720930232558,0.28957873257339445
20260309_002910,Is-this-a-good-customer,classification,Optuna-200,200,7,42,0.2545685103441714,200,32.23,,,,0.07543313487518935,7,0.012777087004918166,0.8187876936902047,0.7331828572097219,0.739110154402764,0.30601318190413007,4.313998921423074,lossguide,10,0.26238531438185897,0.2590169644596473,0.2578489467305444,0.2545685103441714,0.2545685103441714,0.2545685103441714,0.7085514834205934,0.8883720930232558,0.33243663873275586
