run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_feature_fraction,sens_bagging_fraction,sens_num_leaves,sens_min_data_in_leaf,sens_extra_trees,sens_min_data_per_group,sens_cat_l2,sens_cat_smooth,sens_max_cat_to_onehot,sens_lambda_l1,sens_lambda_l2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,param_bagging_freq,param_feature_pre_filter,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,2,42,0.26696488822327935,201,225.95,3.537401951408082,2.2991546350327825,0.9525458396209224,0.002332526749543924,0.0341723642472693,0.018650668895052243,0.5764713985289699,0.17820280279719253,0.03921674436021571,0.02596134232238643,0.029507076316238133,0.0034167721766003773,0.04076543749973161,0.04646094161924731,0.004841924487552708,0.05393876120887621,0.8400230942281757,0.9134868638484418,15,1,False,2,0.1417323393168054,5.105368011062927,32,0.0001,2.0,1,False,0.27612483538832044,0.273734471237495,0.273734471237495,0.2671059419087655,0.26696488822327935,0.26696488822327935,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,3,42,0.2392148230047833,201,243.7,5.711078724276987,3.247118418591471,0.8880001278940292,0.0030669773018771693,0.017785937787963356,0.014313003826636033,0.3133960907936469,0.11919744015392995,0.45079412921926465,0.005203829772106876,0.01669478667853319,0.013378473190202602,0.005353496986771797,0.03528227957253068,0.0055335547165369205,0.005000000000000002,0.7322639540911065,0.9310724644094722,200,2,False,100,2.0,0.020512112266298756,8,0.0001,0.0001,1,False,0.23964131592211826,0.23964131592211826,0.23964131592211826,0.23964131592211826,0.23964131592211826,0.2392148230047833,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,4,42,0.2282272147862744,201,270.57,4.1177760000239765,3.0409770581834277,0.9292837957133594,0.01905155406326471,0.011662311314086063,0.027653356450405477,0.3833670925244842,0.09660080989023827,0.29342898774843246,0.002709200858404452,0.012203130495982166,0.023636955877805184,0.017353926375302448,0.09765462518071094,0.014678049220883602,0.029348626731655083,0.4,0.7,13,5,False,2,0.06807591172586264,100.00000000000004,100,0.0001,1.2189699965171612,1,False,0.2630160054879725,0.2505214359181142,0.2282272147862744,0.2282272147862744,0.2282272147862744,0.2282272147862744,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,5,42,0.3310394522890893,201,143.62,4.252781090018331,2.9051535983051893,0.9409658595672283,0.005588629031986125,0.014323104348909987,0.011749696240027113,0.686490402359332,0.03503865011188209,0.21423202542943928,0.00455064790114976,0.0025841605809614715,0.003657188469413384,0.010487281074426596,0.008048441278440108,0.00324977317403196,0.02557978647107583,0.7903092975854383,0.7,200,1,False,2,2.0,7.740779058370475,100,0.3229338424369269,1.2261769072706186,1,False,0.33463524992192684,0.3310394522890893,0.3310394522890893,0.3310394522890893,0.3310394522890893,0.3310394522890893,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,6,42,0.2687758215916791,201,189.37,4.6157476135211,3.3007008705515,0.9246425965061574,0.016825983382308687,0.03114835437045271,0.020360821061444198,0.6286253923161691,0.14341322598685008,0.027307766514284154,0.022376337346588383,0.027513290397336375,0.031884647717651406,0.004585576467209199,0.04408728410638695,0.001871320333318931,0.04616582091462376,1.0,1.0,200,3,False,100,2.0,0.012691517078948163,100,0.0001,0.0001,1,False,0.2736036477648957,0.2736036477648957,0.27146886014466987,0.2687758215916791,0.2687758215916791,0.2687758215916791,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,7,42,0.31060450820935653,201,227.25,4.198742378030966,2.8924011494447868,0.9270916598400365,0.004472567623823977,0.016893395798076496,0.03131696767169807,0.5890791985400446,0.08861969849071637,0.20340040053759165,0.004774979803044413,0.006305641985726469,0.006206605608848349,0.010392816451714831,0.036581055896214326,0.0019566715925003865,0.10000000000000002,0.8360657764040561,0.8679541209969824,200,2,False,2,2.0,0.02337349291985857,8,0.0001,0.4335604360599864,1,False,0.32126439679040064,0.31684603686882595,0.31684603686882595,0.31684603686882595,0.3111915867138817,0.31060450820935653,,,
20260327_001755,concrete_compressive_strength,regression,HDMR-200,False,200,8,42,0.23013263854362206,201,254.29,4.3733536463564935,2.6567557617392623,0.9420988557309303,0.02519950949350339,0.09425571587859143,0.02730366210253535,0.4344619641505282,0.13986490793989315,0.15816539737580815,0.006662338488665688,0.014776507936856857,0.014713294259528057,0.020459821800592772,0.045499885006566994,0.0186369955669302,0.10000000000000002,0.8362909181713163,0.818711175629948,13,1,False,13,0.1858520423778493,33.12627088624226,28,0.0001,0.7871349033910068,1,False,0.23767584481722284,0.23767584481722284,0.23068940746050437,0.23013263854362206,0.23013263854362206,0.23013263854362206,,,
20260327_001755,concrete_compressive_strength,regression,A-HDMR-200,True,200,1,42,0.2247867901101798,402,477.3,3.7246359499085577,2.614379858256039,0.9487001836854122,2.5077664945187845e-06,1.4139486009727617e-05,1.407677703901158e-05,0.9743232372029496,0.014809680948382845,0.010393713714568889,9.813610887490665e-07,4.93579352155937e-05,0.0002806282631334682,1.2448390753616645e-06,0.00010819391063172077,2.2377954106855547e-06,0.027711147991240248,1.0,0.9434373205755782,18,1,True,21,2.0,0.0010000000000000002,10,0.14237979075689486,2.0,1,False,0.23520321344212763,0.23515108927739556,0.22983830159387272,0.2247867901101798,0.2247867901101798,0.2247867901101798,,,
20260327_001755,concrete_compressive_strength,regression,A-HDMR-200,True,200,2,42,0.2662415579787787,302,609.13,3.3732047554596556,2.300358472157961,0.956848998539195,1.87804702733839e-06,4.677259420647308e-05,3.908964879018354e-05,0.9981774388665098,0.0006471415911512625,0.0006253864044363318,3.7057365844188236e-06,0.00038993785723161813,6.137553835228433e-05,5.003434198631105e-06,2.2134220262704215e-06,5.6859485200015566e-08,0.005000000000000002,0.6835121083788811,0.9747803789482061,17,1,False,25,0.005000000000000002,0.004073976320355997,13,0.0001,2.0,1,False,0.2721479858567679,0.2721479858567679,0.2721479858567679,0.2662415579787787,0.2662415579787787,0.2662415579787787,,,
20260327_001755,concrete_compressive_strength,regression,A-HDMR-200,True,200,3,42,0.22998203738326473,402,300.03,4.851534730742573,2.6854464264440527,0.9191761520963946,0.0006001207709516991,1.591413080871773e-06,2.3402447022071388e-05,0.9353603040275373,0.01664129156020214,0.04637352929946949,1.3923365785138316e-05,0.00021416214480515395,0.0004287971874766339,0.00032715505767124547,3.6042391977107285e-07,1.536230207845408e-05,0.10000000000000002,0.927369332838707,0.8728330834593486,25,1,False,63,0.7407669405014575,0.004551902948551698,8,0.14400143097269275,0.6281060278684901,1,False,0.24713944289173234,0.2419398500912444,0.2419398500912444,0.2419398500912444,0.2419398500912444,0.2419398500912444,,,
