run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260307_180440,concrete_compressive_strength,regression,RS-200,200,3,42,0.23596709375851227,200,287.4,4.866475672217535,2.642560920435447,0.918677570139893,0.031008377365236584,9,0.01133218928478186,0.699043995141983,0.6186566174030304,0.7864645134657622,0.3630180334868841,3.7876697863580664,depthwise,54,0.24811005551914694,0.24811005551914694,0.24512650828397756,0.24512650828397756,0.23596709375851227,0.23596709375851227,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,4,42,0.24278499935830916,200,399.74,4.068175363350525,2.938781325813265,0.9309771581306163,0.03414146470285696,8,0.003278416618437465,0.7119911167770624,0.9455384176224471,0.6496736947447062,0.0647994733825326,4.80185722482279,depthwise,9,0.25800280075823445,0.25401776774085644,0.25401776774085644,0.25401776774085644,0.25401776774085644,0.24278499935830916,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,5,42,0.32905477306136854,200,292.12,4.367029808484996,2.9342635288860293,0.9377514126125638,0.0388538670251149,8,0.03896762102066452,0.710400840267539,0.8286011654883623,0.749636459350586,1.622936961545609,1.2749288481602445,lossguide,269,0.33625220255607546,0.32905477306136854,0.32905477306136854,0.32905477306136854,0.32905477306136854,0.32905477306136854,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,6,42,0.2749086163900347,200,351.27,4.16787739296786,3.1253382216359022,0.9385571024768699,0.0424653827249024,5,0.702584801527872,0.8062051549553871,0.7226089324802161,0.6374921057373285,1.698696889320761,4.000842205415852,depthwise,217,0.27609431286304004,0.27609431286304004,0.27609431286304004,0.27609431286304004,0.27609431286304004,0.2749086163900347,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,7,42,0.3038331626761571,200,428.12,3.9599982641623583,2.6975959288542626,0.9351471979171437,0.04006045268048063,5,0.019635777193451897,0.9166975721716881,0.6870489530265331,0.7888833474367857,0.519500682050921,2.968899215040356,depthwise,293,0.3241671197418278,0.31860853196872907,0.31574806902871305,0.30954021281429484,0.3038331626761571,0.3038331626761571,,,
20260307_180440,concrete_compressive_strength,regression,RS-200,200,8,42,0.2285852809338752,200,395.2,4.465976356895409,2.5820193998224013,0.9396203222742269,0.069039630698723,6,0.028829981803531784,0.6940044861286878,0.7327188700437546,0.989333926141262,0.21187862956896425,1.592370597410761,depthwise,64,0.2415427392901633,0.2310163793240035,0.2310163793240035,0.2285852809338752,0.2285852809338752,0.2285852809338752,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,1,42,0.40814984451618214,200,63.5,4092.198072081394,2361.302341369978,0.8325583022518495,0.07247930967066848,6,4.481594983793522,0.8990631360560655,0.8660705730319023,0.8838616989552974,0.1043229093474336,2.528691875747685,lossguide,8,0.4117442549339775,0.40878194168953436,0.40878194168953436,0.40814984451618214,0.40814984451618214,0.40814984451618214,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,2,42,0.37110119687979204,200,62.29,3610.8431367450708,2243.9710730784973,0.89206551671719,0.07164129201486368,4,0.23977616526462536,0.7042532414197922,0.7043708134442568,0.9464754067361355,2.2035920001618567,3.887477248648182,depthwise,20,0.37457489113888204,0.3722014773435804,0.3722014773435804,0.3722014773435804,0.37110119687979204,0.37110119687979204,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,3,42,0.4104331826136222,200,67.63,4163.544775732544,2379.5326363950226,0.9081806871316003,0.07145974135174586,6,0.3170177965679749,0.7605273339897394,0.870810417830944,0.9457260634750128,2.861809356336296,1.133065841570124,depthwise,382,0.41372987096708025,0.4129291477211874,0.4121185199661545,0.4105399303970678,0.4105399303970678,0.4104331826136222,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,4,42,0.30611225391277325,200,84.1,5448.9540093826845,3062.2599602385853,0.8006714993752664,0.044847970237858234,4,0.15205482044078572,0.6730237256735563,0.8925136156380176,0.8328184802085161,0.2377208007615991,3.0989704421864825,depthwise,67,0.31138230299505226,0.30886434262050466,0.30651973804143634,0.30611225391277325,0.30611225391277325,0.30611225391277325,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,5,42,0.35658213991955073,200,46.49,4582.9181890897835,2585.658248278444,0.7826917050023587,0.060689462608636634,5,3.2977059905661847,0.9185975410044194,0.8837056774646044,0.9190186008810997,4.192374408221244,0.6895327786264009,lossguide,114,0.35817396250694067,0.35817396250694067,0.3575437910705952,0.35658213991955073,0.35658213991955073,0.35658213991955073,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,6,42,0.3866147008148859,200,63.73,4751.992648296374,2538.883396707616,0.880670115409699,0.07801810631742605,5,0.002113024863337685,0.9415895838290453,0.9868455260992051,0.8357582725584507,0.6458830142583698,4.197817078876868,lossguide,144,0.3906344251616262,0.3866147008148859,0.3866147008148859,0.3866147008148859,0.3866147008148859,0.3866147008148859,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,7,42,0.35623442054205,200,60.87,5330.848601211843,3021.9084400210513,0.822834975493451,0.012053853013109543,4,0.002973310629274352,0.9541196759790183,0.957355322688818,0.782944718375802,4.76899513592096,0.1682106395826675,lossguide,930,0.35723079666873364,0.35723079666873364,0.35723079666873364,0.3568632378904849,0.3568632378904849,0.35623442054205,,,
20260307_180440,healthcare_insurance_expenses,regression,RS-200,200,8,42,0.41651204627042265,200,58.02,4112.540957699035,2489.8831517589824,0.8896281708951176,0.007562281559126134,4,0.003682755968002803,0.905439306795597,0.8350260119885207,0.9446705628186465,0.9156733257711865,1.0998754307744094,lossguide,45,0.4189185642808653,0.41724940555110157,0.41724940555110157,0.41651204627042265,0.41651204627042265,0.41651204627042265,,,
20260307_180440,airfoil_self_noise,regression,RS-200,200,1,42,0.21282744120654054,200,428.58,1.7874923944336012,1.0410354562313,0.9350773020140759,0.017027553753554258,10,0.0017686776047823546,0.8369313646107912,0.7101889755576849,0.9896257251501084,0.20739864780455827,4.683715777739696,depthwise,1004,0.21617093962416997,0.21617093962416997,0.21617093962416997,0.21282744120654054,0.21282744120654054,0.21282744120654054,,,
20260307_180440,airfoil_self_noise,regression,RS-200,200,2,42,0.18590933651075287,200,381.47,1.2847814187610573,0.7978725628142666,0.9658645945348187,0.021397312036361058,8,0.318749207810203,0.6873850066214799,0.6645571276545524,0.958086721971631,0.036299826373811815,2.0317103432583625,depthwise,169,0.19915338719206363,0.19915338719206363,0.19915338719206363,0.19688696255992227,0.19576186436264717,0.18590933651075287,,,
20260307_180440,airfoil_self_noise,regression,RS-200,200,3,42,0.22076104871024346,200,304.88,1.3640981634311777,0.8704579302199348,0.9652729445694035,0.026184089538373173,6,0.06741985267828585,0.9659738715738058,0.8654915306717157,0.9115368906408549,0.012146677334606648,2.0806679860050794,lossguide,166,0.22619891267602318,0.22619891267602318,0.22619891267602318,0.22076104871024346,0.22076104871024346,0.22076104871024346,,,
