run_id,dataset,task,method,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260330_110706,Fiat500_used,regression,RS-200,200,7,42,0.36474913403269255,200,68.74,749.8467505888893,559.0872028102294,0.8456827908854453,0.02600151352837079,0.7149084586650134,0.9135597610846162,40,1,False,9,1.500732037673596,0.0906232026452648,83,0.0922511401954107,0.9303309976018965,0.3715378785588338,0.3691969252171864,0.3691969252171864,0.36474913403269255,0.36474913403269255,0.36474913403269255,,,
20260330_110706,Fiat500_used,regression,RS-200,200,8,42,0.3749372569335514,200,42.48,719.041710236845,526.0918806345913,0.8755444448389448,0.005384649728336512,0.8798594616353512,0.9262182649224997,32,1,False,61,0.018710002646361405,2.6259790722287386,37,0.4004050134310499,1.5739422318954022,0.38442314030644675,0.3749372569335514,0.3749372569335514,0.3749372569335514,0.3749372569335514,0.3749372569335514,,,
20260330_110706,houses,regression,RS-200,200,1,42,0.36685349381397186,200,1435.71,0.20603989707764062,0.14495821710482898,0.8644283453122984,0.0063872365453129494,0.4448576804250479,0.8629445184022189,157,48,False,24,0.021868742396293463,0.056405908030443035,23,0.7398695909263566,0.6825024933978915,0.36943917772300705,0.36943917772300705,0.36750874732607874,0.36750874732607874,0.36750874732607874,0.36685349381397186,,,
20260330_110706,houses,regression,RS-200,200,2,42,0.3836298740062519,200,1393.94,0.21404742736025364,0.1441776057004228,0.8638995505243459,0.005313676199803316,0.662320907227695,0.8590726968832314,183,2,False,25,0.12067425296461468,13.461558069596936,31,0.03208072198098526,1.0681644231482408,0.38740568833570727,0.38740568833570727,0.38740568833570727,0.3836298740062519,0.3836298740062519,0.3836298740062519,,,
20260330_110706,houses,regression,RS-200,200,3,42,0.3591297392470134,200,1542.25,0.21614241218156172,0.14545923732663732,0.8600802143106594,0.02116478436054903,0.5914519404992461,0.9662873020395637,123,1,False,36,0.9985345891978825,5.92936238012254,44,0.10104965019244701,1.830313753724564,0.3652966542892575,0.3629116199361811,0.3591297392470134,0.3591297392470134,0.3591297392470134,0.3591297392470134,,,
20260330_110706,houses,regression,RS-200,200,4,42,0.379901998301221,200,1546.93,0.20953759350106776,0.1407006465824452,0.8593293172729747,0.03053182541751362,0.6642948644235731,0.9170307354070246,108,1,False,83,1.5036596234726047,0.013068756725182432,8,0.4185203212772496,0.9458481382364408,0.3838689557246339,0.3828616334177936,0.38242187201567096,0.379901998301221,0.379901998301221,0.379901998301221,,,
20260330_110706,houses,regression,RS-200,200,5,42,0.3948711139845969,200,1563.27,0.21517585346589652,0.14639284502800168,0.8582484359333162,0.013899790674221618,0.7513055862858892,0.8624161525629461,192,2,False,45,0.09476791118495838,0.7127348366775714,23,0.6110423497729934,0.6755673331141472,0.396278554580972,0.396278554580972,0.396278554580972,0.3948711139845969,0.3948711139845969,0.3948711139845969,,,
20260330_110706,houses,regression,RS-200,200,6,42,0.3561803073444824,200,1670.15,0.21282085154649033,0.14551007315121262,0.8624158730709686,0.017913565642905787,0.8646045124158264,0.8783975465223193,104,1,False,17,0.034482670133289935,0.0019409344489789433,29,0.012177415425051004,0.3940521934791468,0.36416554029800396,0.3570347183835239,0.3570347183835239,0.3570347183835239,0.3570347183835239,0.3561803073444824,,,
20260330_110706,houses,regression,RS-200,200,7,42,0.3826909345992956,200,1287.8,0.21754037443535967,0.14620197232289806,0.8552176930032688,0.03260400042704256,0.6637168645858764,0.9819778783246875,149,3,False,6,1.5911649183429804,5.328846378076456,65,0.5476348672006279,0.27201065175281836,0.39090577472729393,0.3851545964144575,0.3851545964144575,0.38421740018598,0.3827379130517156,0.3826909345992956,,,
20260330_110706,houses,regression,RS-200,200,8,42,0.37092671797074495,200,1509.34,0.2009748365671138,0.1396049177099212,0.8699804636773848,0.01688309168271625,0.7154570056125522,0.8938087799586356,73,2,False,8,0.06925293340113449,0.675397451308762,22,0.879434129182715,0.20942949068639427,0.37471192130852715,0.3719623940839332,0.3719623940839332,0.3719623940839332,0.37092671797074495,0.37092671797074495,,,
20260330_110706,Food_Delivery_Time,regression,RS-200,200,1,42,0.7876660158961866,200,1831.92,7.389056485296941,5.811775290211235,0.37314950515006684,0.007117596237704756,0.5550645722076297,0.9072249910794199,35,9,False,6,1.392226073221822,0.005272192824196036,64,0.524389559765812,0.006265911400318146,0.7879833366694408,0.7879833366694408,0.7879833366694408,0.7877226903757891,0.7876660158961866,0.7876660158961866,,,
