run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200
20260310_003731,houses,regression,A-HDMR-600,True,600,5,42,0.39779256891735565,603,3856.44,0.21979662408116285,0.149592715181234,0.8520950099767894,0.04035414155221446,0.16232692639513563,0.03489804883909769,0.14204808445610673,0.10734790789228088,0.012927837694350956,0.23538750353966595,0.012625981593224894,0.02431905401891507,0.22776451401900782,0.013323448659818231,10,0.020553217849676925,0.9588115486410146,0.9786222171956482,0.8776589896999967,0.546041993479617,0.4468362631139676,lossguide,64,0.402443300704931,0.4008121433586941,0.40055794693295066,0.40006305846871154,0.39987150018370055,0.39779256891735565
20260310_003731,houses,regression,A-HDMR-600,True,600,6,42,0.35867337995741383,603,4259.47,0.21469316547534367,0.14605746257936536,0.8599844025647028,0.0401652189370841,0.13182896363940774,0.005962419747534967,0.18897978013544775,0.10189982908705361,0.16885917375744797,0.12716864384354043,0.012716494311342212,0.008894903984728746,0.21352457255641252,0.03148461327734854,8,0.017564707040207864,0.8693439553717404,0.9598525151818282,0.9732796389169358,0.4221642636756995,1.727271640770568,depthwise,79,0.3650654603635593,0.3650654603635593,0.36159543895023455,0.36127196122258237,0.35867337995741383,0.35867337995741383
20260310_003731,houses,regression,A-HDMR-600,True,600,7,42,0.38963992646642176,603,4052.16,0.22243346191809685,0.14856045320996583,0.8486313312432987,0.014781218627145824,0.047244326425669496,0.015645160195425917,0.2940451746605121,0.04286596924553039,0.01714185051871244,0.019591074529095476,0.010809803755466136,0.030203899814046677,0.5076715222283955,0.015805894732502795,10,0.010494618503186368,0.979999997496681,0.9063753684053443,0.9982209201647481,3.3503801699229974,4.000785345846901,lossguide,77,0.39113379272427934,0.39113379272427934,0.39113379272427934,0.39113379272427934,0.3908644910478478,0.3908644910478478
20260310_003731,houses,regression,A-HDMR-600,True,600,8,42,0.3739403405247179,603,4525.12,0.20667227327952606,0.1434486681969058,0.8625041223276918,0.02049282372236286,0.06093479162474807,0.003002288119383421,0.1726741274871278,0.08956698364734235,0.22177870835034513,0.006341016122211466,0.03399432972898324,0.0013260178069923066,0.38988891339050336,0.028435919579126674,8,0.0068543695152266,0.9300493320882629,0.9787118316416187,0.9151697445763847,3.6594082330666886,2.4654282524354176,lossguide,95,0.37712301590892533,0.3759120451874099,0.3748970342448753,0.37405485011672746,0.3739403405247179,0.3739403405247179
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,1,42,0.5571540648108648,201,4611.62,3.384113193383972,2.2887701088128516,0.6937151454586121,0.12244578991061889,0.3196218052477864,0.007726190987227453,0.007045690209612602,0.006827793400422396,0.01362454590742623,0.002541346199438815,0.0344719675142054,0.023978655326890003,0.46171621529637197,0.04142219236793102,8,0.04912271094647483,0.999999998537053,0.899121343399693,0.794020926456531,3.234783044399501,0.4357999557017195,lossguide,217,0.5658633347634786,0.5658633347634786,0.5658633347634786,0.5574839475899097,0.5571540648108648,0.5571540648108648
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,2,42,0.5700509348568019,201,3584.66,3.484487442844082,2.361480238153656,0.6788058460235701,0.2837950698799503,0.2288688208186228,0.002605527384437159,0.005819214690766751,0.0030971640559620092,0.008485927179988955,0.005372020627179529,0.0010894355061135729,0.03199152844062427,0.42887529141635455,0.036150191966998056,8,0.014685703866108221,0.9103190848811387,0.9057053379264,0.6548540833674787,1.5313878137087134,4.999999967056038,lossguide,111,0.5727064067109374,0.5727064067109374,0.5727064067109374,0.5706541078118177,0.5700509348568019,0.5700509348568019
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,3,42,0.5583084271127188,201,3945.75,3.326156739359853,2.2516662966011873,0.6968879486711719,0.0736717759443578,0.5130805648370298,0.01313997478026373,0.00791316604725468,0.007593529076465972,0.03756327949835679,0.019137501445021205,0.017765478500445762,0.05994290532958726,0.2501918245412171,0.09999999868356027,10,0.0012597517323284107,0.8548209555697832,0.9130348971400769,0.8517148179610935,2.9645670384590606,4.999999979627077,lossguide,1024,0.5851740301423207,0.5650480402895482,0.5648712973999847,0.5583084271127188,0.5583084271127188,0.5583084271127188
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,4,42,0.5504375069605777,201,4371.54,3.457701733190909,2.3735271513162544,0.6770856104034714,0.1368465743613081,0.3067600664643906,0.01968282875534227,0.011988352092199624,0.005328052541783353,0.0009356760519719089,0.017465503083270308,0.0302441844814329,0.033379572921499415,0.4373691892468015,0.036874388942022225,8,0.02560994172896928,0.8271340835315444,0.7235674826955447,0.6512865572436078,4.999999985785311,0.731535029343488,depthwise,339,0.5633660825828735,0.5593008652817262,0.5585495585080323,0.5539508753981466,0.5539508753981466,0.5504375069605777
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,5,42,0.5560277894070873,201,3633.33,3.4818664273193622,2.3272632520696326,0.6806485591495941,0.04228466549038103,0.31806361405228306,0.004120568115357869,0.002885201372307331,0.04140519891258605,0.010824317544798517,0.003878041992746572,0.006450473504126493,0.05372222436112268,0.5163656946542904,0.044001323586421635,10,0.07280503268717646,0.9995058042427796,0.8343986876262681,0.9000267363042318,1.6837616590293807,2.6455302201202047,lossguide,100,0.5682682529901475,0.5610248304902069,0.5610248304902069,0.5583198928188426,0.5570918081337071,0.5560277894070873
20260310_003731,physiochemical_protein,regression,HDMR-200,False,200,6,42,0.5535178515414668,201,3797.55,3.4829605314724037,2.371093326289596,0.6756141242058262,0.13449295309263354,0.3225944066323041,0.03560441501932869,0.004699758152000855,0.010336163404852126,0.02755326670983588,0.0128577723554843,0.027471551457654123,0.02765597752062795,0.3967337356552785,0.037733749309209204,10,0.0024234440864911474,0.697660123640019,0.8850533202317821,0.7374848178626626,3.372572149475739,3.6859967266580504,depthwise,1024,0.5641517979091357,0.5581582817374745,0.5581582817374745,0.5561731745418746,0.5535178515414668,0.5535178515414668
