run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_max_depth,sens_min_child_weight,sens_subsample,sens_colsample_bylevel,sens_colsample_bynode,sens_reg_alpha,sens_reg_lambda,sens_grow_policy,sens_max_leaves,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_grow_policy,param_max_leaves,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,2,42,0.33300979532406294,402,172.86,,,,9.722682417607039e-05,0.6005489960246357,0.2935278094275433,0.00020345917418806145,1.101877593276563e-05,0.10377266110082217,3.409733157429867e-05,0.00147459847326558,4.867779961931615e-05,0.0002814550682426185,0.10000000000000002,9,0.005298427923336625,1.0,0.7131715212573898,0.6,2.8889953198456295,3.998324557082633,depthwise,87,0.3481825086532017,0.3481825086532017,0.34747894739349183,0.3442182738652306,0.3442182738652306,0.3442182738652306,0.9315453384418901,0.8484848484848485,0.33359094290139024
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,3,42,0.2311246635457327,302,338.46,,,,0.002080899927604144,0.005843923704289657,0.10202581184947017,0.8873853593122354,0.00019523103249888209,0.0009978233796540219,0.00016964698299681927,0.0005280733506404406,0.000569107713472677,0.00020412274713790923,0.10000000000000002,9,0.0010000000000000002,0.6,0.6497288690302416,1.0,1.7809106790812155,5.0,lossguide,8,0.2583288697453755,0.24726273724822256,0.2426132687605742,0.2426132687605742,0.2387930680085783,0.2387930680085783,0.9274584929757345,0.8484848484848485,0.32707772698073645
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,4,42,0.28163890445548473,302,223.31,,,,0.0011160729063109033,0.3363371962123929,0.0004607513609135752,0.0012539045551122798,0.0035898068343504694,0.002259151436685534,0.620179955330204,0.00013080713930640575,0.00023157655125300412,0.034440777673470924,0.10000000000000002,7,0.12149580291011254,0.6,0.9024838647402033,0.6,0.8379676151732067,1.9416191397767981,lossguide,123,0.29683413067041126,0.2963391514620553,0.2925421095656805,0.2913657108206624,0.2913657108206624,0.2913657108206624,0.9217458677685951,0.8484848484848485,0.3511864673269303
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,5,42,0.2290437144951147,302,1191.16,,,,0.0001333164369277715,0.0010496470766296528,0.508503201296365,0.0004968751488353656,3.550074243769695e-05,3.3324810024267505e-05,0.4420901621632423,1.054206084051106e-05,0.0003110016661833087,0.04733642859851413,0.005000000000000002,10,0.04329048446456534,0.6,0.8349356041419254,0.8790102421443936,0.0001,5.0,lossguide,1024,0.2371766586076161,0.2366677948086682,0.23210615057092635,0.23141937334082396,0.23141937334082396,0.23141937334082396,0.931043388429752,0.8939393939393939,0.28863085850669074
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,6,42,0.2619335331273489,302,311.19,,,,0.004027481554587507,0.7051807241599174,0.2624704807591286,0.003545737919134867,0.0013527199077991157,0.006138179672009329,0.0003774743947414515,0.0002930709013073147,6.902687692771436e-05,0.016545103854446606,0.10000000000000002,10,0.0010000000000000002,0.8341045431236922,0.9396513190170376,1.0,2.7728676104308634,5.0,lossguide,1024,0.26965298992889625,0.26965298992889625,0.26765032431797947,0.2668897970814647,0.2668897970814647,0.2668897970814647,0.9243285123966942,0.8712121212121212,0.33065895086878944
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,7,42,0.2832912566644777,402,329.14,,,,0.00023790840518055415,0.00047089722487722173,0.025603538519778934,2.0772503208179902e-05,0.0007274313869559679,7.470462019080507e-05,0.9229276880812752,0.0005518742845164691,0.04938516042382208,2.4550194671200594e-08,0.021497726874759912,7,0.03337163680148041,0.7836348569941605,0.6,0.678139968118776,1.9315047397667373,0.0001,depthwise,528,0.2898302243479033,0.2898302243479033,0.2832912566644777,0.2832912566644777,0.2832912566644777,0.2832912566644777,0.9542842215256009,0.8931297709923665,0.25022441937607853
20260323_114520,qsar-biodeg,classification,A-HDMR-200,True,200,8,42,0.31670805205923463,402,261.59,,,,2.3233270258471277e-07,0.05895384704154943,4.4836915891085544e-05,6.47710894967623e-05,6.523534909136319e-06,5.56948614595821e-05,0.9334041923340721,0.007350525234688227,4.1156230217757506e-05,7.822042501323653e-05,0.04227160979349958,5,0.024666864656757208,0.9293965809876878,0.6,0.9218816438739786,2.1738023793917813,5.0,depthwise,8,0.321703716261061,0.31670805205923463,0.31670805205923463,0.31670805205923463,0.31670805205923463,0.31670805205923463,0.922675026123302,0.8778625954198473,0.326124703669359
20260323_114520,qsar-biodeg,classification,A-HDMR-600,True,600,1,42,0.22129972903843825,602,683.88,,,,0.5120366121000122,5.10158449940695e-06,0.11218783913083488,0.0025334216794823915,2.7909898721231573e-05,0.0030166045737442964,0.3690928100690014,0.0001646005590888029,0.0007669824873128998,0.0001681179173025659,0.05127049282635456,10,0.007845030539848636,0.6960402334762589,0.9480095166762276,0.9455915014478202,1.782933189236508,3.7412390907830018,depthwise,40,0.2274094047853844,0.2274094047853844,0.22531226598368143,0.22483315473105944,0.22483315473105944,0.22483315473105944,0.9509578544061303,0.8863636363636364,0.29794641464531274
20260323_114520,qsar-biodeg,classification,A-HDMR-600,True,600,2,42,0.3451485341323571,1003,1669.59,,,,0.00011353819893432611,0.7602612085393885,0.11092199571222999,5.070138441031846e-06,8.958075143583674e-05,1.0475164306729764e-05,2.1150893334553015e-05,0.12840638700238832,3.6029584546738646e-06,0.00016699064108603658,0.005171481062410349,10,0.0170009081427178,0.6,0.6,0.6062352352723197,3.9967341616530363,4.701401412241029,lossguide,286,0.3465594841167935,0.3465594841167935,0.3465594841167935,0.3460674730404515,0.3460674730404515,0.3451485341323571,0.9330779054916986,0.8484848484848485,0.3151162746055663
20260323_114520,qsar-biodeg,classification,A-HDMR-600,True,600,3,42,0.2295549424813154,1203,1282.04,,,,1.0507951940623167e-05,6.767214470389021e-05,0.0010087531067215591,0.9988385557468215,1.4401254672281044e-05,2.4423208849732054e-05,2.0144410438194166e-05,4.786683925321144e-06,4.570363035171814e-06,6.185128891747809e-06,0.05010390357749228,10,0.011805381844841535,0.6,0.7105161635900008,0.603277964627112,1.1443172289321664,5.0,lossguide,62,0.2529437648516932,0.23850703733487183,0.23850703733487183,0.23850703733487183,0.23850703733487183,0.23850703733487183,0.9251596424010218,0.8409090909090909,0.3340153477050732
